point_name,latitude,longitude,altitude,north,east,elevation,point_type,horizontal SD,vertical SD,reset time,convergence count
lamppost_1a,57.484585691968014,12.008951647166743,75.24189453125,/,/,/,Check Point,0.00199,0.0034619201597519108,1,5
lamppost_2d,57.48449667507564,12.009611491094834,74.99305572509766,/,/,/,Check Point,0.00090,0.0025992010450500967,1,5
feature_3a,57.484161220753606,12.010498613144026,72.39768981933594,/,/,/,Check Point,0.00685,0.007238230591177349,1,5
feature_4a,57.484163889839216,12.010482270846094,72.64004974365234,/,/,/,Check Point,0.00504,0.003072215673142761,1,5
lamppost_5d,57.48393191976969,12.009176025186662,76.60960540771484,/,/,/,Check Point,0.01069,0.005245278677405211,1,5
lamppost_6a,57.48399774973272,12.008980625165208,76.39214782714843,/,/,/,Check Point,0.00662,0.006024339065643561,1,5
lamppost_11a,57.48440235833228,12.010202809711753,74.1587417602539,/,/,/,Check Point,0.06746,0.016844484788236344,1,5
sign_12a,57.48445961359497,12.009709311818519,74.3599639892578,/,/,/,Check Point,0.02548,0.015714962495835406,1,5
lamppost_13a,57.484634568207,12.009565229292573,73.42289276123047,/,/,/,Check Point,0.03997,0.0074207474302903234,1,5
sign_14d,57.484524941330946,12.008141239311694,74.52647094726562,/,/,/,Check Point,0.00928,0.003255358704273863,1,5
lamppost_15d,57.48438976811276,12.008242349213344,74.74399261474609,/,/,/,Check Point,0.00113,0.0033219057678605447,1,5
sign_16d,57.4843480598807,12.00854321814375,74.80779113769532,/,/,/,Check Point,0.00246,0.006241904621089907,1,5
sign_17d,57.48418076102176,12.008449509419696,75.8125503540039,/,/,/,Check Point,0.00888,0.0046247776203138455,1,5
lamppost_18a,57.484211074418454,12.008768555949468,74.9330337524414,/,/,/,Check Point,0.00253,0.0011298939631764616,1,5
sign_19a,57.484007829859024,12.008831937495108,75.19683227539062,/,/,/,Check Point,0.00330,0.002879548729008192,1,5
sign_20d,57.484049667212574,12.00924992734681,74.98407440185547,/,/,/,Check Point,0.00441,0.0017926500619779024,1,5
lamppost_21a,57.484134874431206,12.009476137024526,74.94001770019531,/,/,/,Check Point,0.00119,0.0006877268345156311,1,5